,COMMODITY_DESC,SUB_COMMODITY_DESC,SALES_VALUE,QUANTITY
1021,COUPON/MISC ITEMS,GASOLINE-REG UNLEADED,604420.7000000154,257212362
1714,FUEL,GASOLINE-REG UNLEADED,29536.56,119617
1543,FLUID MILK PRODUCTS,FLUID MILK WHITE ONLY,161907.170000062,91476
3872,YOGURT,YOGURT NOT MULTI-PACKS,37815.32000000153,65544
3319,SOFT DRINKS,SOFT DRINKS 12/18&15PK CAN CAR,158062.72999999748,54983
3312,SOFT DRINKS,SFT DRNK 2 LITER BTL CARB INCL,53564.909999993964,54400
534,CANDY - CHECKLANE,CANDY BARS (SINGLES)(INCLUDING,16901.17000000162,44412
686,CHEESE,SHREDDED CHEESE,67662.89999999183,35245
212,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHITE BREAD,44297.340000001306,34661
3336,SOUP,CONDENSED SOUP,33514.07000000081,32955
1691,FRZN MEAT/MEAT DINNERS,SS ECONOMY ENTREES/DINNERS ALL,31297.39000000005,31665
3655,TROPICAL FRUIT,BANANAS,30367.280000000002,31595
3003,PWDR/CRYSTL DRNK MX,SOFT DRINK POWDER POUCHES,10376.259999999324,29070
189,BAG SNACKS,POTATO CHIPS,51481.1599999957,23642
2527,MEAT - SHELF STABLE,PASTA: CANNED,20342.499999999894,20853
3343,SOUP,RAMEN NOODLES/RAMEN CUPS,6667.190000000135,20454
3018,REFRGRATD JUICES/DRNKS,DAIRY CASE 100% PURE JUICE - O,47539.08000000087,19986
392,BEERS/ALES,BEERALEMALT LIQUORS,146171.61000001608,19639
1707,FRZN VEGETABLE/VEG DSH,FRZN BAGGED VEGETABLES - PLAIN,24186.559999999994,19383
1686,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/N,40468.929999999506,18891
3166,SEAFOOD - SHELF STABLE,TUNA,19944.430000000157,18800
3344,SOUP,RTS SOUP: CHUNKY/HOMESTYLE ET,30683.250000001404,18745
877,COLD CEREAL,KIDS CEREAL,46334.20000000022,18312
225,BAKED SWEET GOODS,SNACK CAKE - MULTI PACK,28324.850000001035,18160
141,BABY FOODS,BABY FOOD - BEGINNER,9452.109999999888,17956
372,BEEF,PRIMAL,65810.35000000143,17331
1650,FROZEN PIZZA,SNACKS/APPETIZERS,46599.13000000044,17262
3772,VEGETABLES - SHELF STABLE,BEANS GREEN: FS/WHL/CUT,11119.399999999832,16933
807,CIGARETTES,CIGARETTES,96387.82999999894,16842
211,BAKED BREAD/BUNS/ROLLS,MAINSTREAM WHEAT/MULTIGRAIN BR,22532.50999999937,16832
192,BAG SNACKS,SGL SV/VEND MACH SNACKS CHIP/P,5955.450000000259,16255
3317,SOFT DRINKS,SFT DRNK SNGL SRV BTL CARB (EX,16903.380000002115,16210
1687,FRZN MEAT/MEAT DINNERS,FRZN SS PREMIUM ENTREES/DNRS/T,37393.11000000018,16146
1645,FROZEN PIZZA,PIZZA/ECONOMY,13124.109999999948,16066
1110,DINNER MXS:DRY,MACARONI & CHEESE DNRS,20179.879999999946,16044
321,BATH TISSUES,TOILET TISSUE,58630.27999999979,16035
642,CAT FOOD,CANNED CAT FOOD (9 LIVES/FRISK,5709.589999999958,15930
197,BAG SNACKS,TORTILLA/NACHO CHIPS,38821.50999999812,15885
2764,PAPER TOWELS,PAPER TOWELS & HOLDERS,30125.349999999835,15109
1285,EGGS,EGGS - LARGE,18927.760000000893,15004
674,CHEESE,IWS SINGLE CHEESE,28630.349999998703,14340
671,CHEESE,CREAM CHEESE,19501.289999999983,14147
3120,SALD DRSNG/SNDWCH SPRD,POURABLE SALAD DRESSINGS,26410.030000000654,13953
3776,VEGETABLES - SHELF STABLE,CORN,8098.069999999893,13824
343,BEEF,CHOICE BEEF,76694.56000000013,13590
2770,PASTA SAUCE,MAINSTREAM,23543.76999999916,13503
875,COLD CEREAL,ALL FAMILY CEREAL,36702.73000000002,13080
2119,ICE CREAM/MILK/SHERBTS,PREMIUM,43273.58999999788,12887
